crn,course,students_count,average_gpa,year,semester,professor
48491,12,139,2.04,2020,Spring,"Cacho, L"
48486,12,110,2.74,2020,Spring,"Cacho, L"
48485,12,466,2.38,2020,Spring,"Cacho, L"
51464,13,138,3.33,2020,Spring,"Lira, N"
51463,13,198,3.51,2020,Spring,"Lira, N"
51462,13,267,2.44,2020,Spring,"Lira, N"
51460,13,30,2.59,2020,Spring,"Lira, N"
51459,13,442,3.78,2020,Spring,"Lira, N"
51110,13,114,2.71,2020,Spring,"Lira, N"
46471,14,404,2.91,2020,Spring,"Beauchamp, T;Paik, A"
65842,14,432,2.3,2020,Spring,"Ruiz, S"
54768,15,159,3.37,2020,Spring,"Bhalerao, K;Walter, J"
10141,16,258,3.83,2020,Spring,
10033,16,187,2.78,2020,Spring,
70231,16,382,2.92,2020,Spring,"Alt, A"
70634,16,429,3.13,2020,Spring,"Alt, A"
70517,16,285,2.98,2020,Spring,"Brunner, R"
48181,16,395,3.96,2020,Spring,"Lo, A"
10094,16,87,2.42,2020,Spring,
59233,16,260,3.49,2020,Spring,"Woodard, B"
61002,16,408,3.72,2020,Spring,"Woodard, B"
10004,16,165,3.63,2020,Spring,
65994,16,217,3.9,2020,Spring,"Lembeck, M"
70881,16,299,3.92,2020,Spring,"Tran, H"
60673,16,78,2.7,2020,Spring,"Merret, J"
10130,16,116,3.72,2020,Spring,
51236,16,215,3.76,2020,Spring,"Ochs, G"
64704,16,328,3.96,2020,Spring,"Ochs, G"
63179,16,87,2.79,2020,Spring,"Kimme, K"
66133,16,54,2.84,2020,Spring,"Firkins, C"
70582,16,251,3.03,2020,Spring,"Ochs, G"
10232,16,20,2.15,2020,Spring,
11152,16,23,3.2,2020,Spring,"Kline, K"
57445,16,409,2.78,2020,Spring,"Schneider, A"
10268,16,392,2.1,2020,Spring,
55437,16,266,2.43,2020,Spring,"Hinders, K"
67520,16,198,2.4,2020,Spring,"Hemingway, E"
10337,16,267,3.62,2020,Spring,
10355,16,321,2.27,2020,Spring,
12125,16,246,3.62,2020,Spring,"Theide, B"
10377,16,180,3.71,2020,Spring,
10388,16,410,2.69,2020,Spring,
10389,16,27,3.78,2020,Spring,
51466,16,390,3.91,2020,Spring,"Allen, A;Metzger, R"
10398,16,261,3.96,2020,Spring,
61653,16,202,2.03,2020,Spring,
10408,16,109,2.27,2020,Spring,
69305,16,252,3.97,2020,Spring,"Fletcher, H;Lewis, L"
69561,16,48,3.86,2020,Spring,"Brunner, R"
48433,16,201,2.63,2020,Spring,"Lithgow, J;White, J"
59695,16,499,3.66,2020,Spring,"Green, K;Jackson, K"
54322,16,107,2.89,2020,Spring,"Quarton, J"
64343,16,357,2.94,2020,Spring,"Werpetinski, V"
51175,16,247,2.87,2020,Spring,"Smith, M"
59174,16,38,2.57,2020,Spring,"White, T"
10480,16,272,2.85,2020,Spring,
41974,16,38,2.08,2020,Spring,"Huang, T"
58779,16,193,2.31,2020,Spring,"Greskovich, K;Hoang, K;Lu, Y;Wu, Y"
32558,16,472,2.1,2020,Spring,"Greskovich, K;Hoang, K;Lu, Y;Wu, Y"
10519,16,292,2.15,2020,Spring,
44534,16,388,3.93,2020,Spring,"Bankhead, T"
47207,16,291,2.26,2020,Spring,"Bankhead, T"
31112,16,411,3.98,2020,Spring,"Kolisetty, J"
66162,16,149,2.63,2020,Spring,"Rice, I"
55815,16,82,3.27,2020,Spring,"Latham, N"
10535,16,355,2.6,2020,Spring,
10454,16,229,2.5,2020,Spring,
64004,16,94,2.55,2020,Spring,"Johnson, L"
31833,16,500,3.69,2020,Spring,"Zbikowski, A"
40695,16,302,2.35,2020,Spring,"Taylor, E"
40778,16,261,2.07,2020,Spring,"Allison, E"
16265,16,133,2.49,2020,Spring,"Toenjes, J"
10596,16,233,3.18,2020,Spring,
65800,16,399,3.89,2020,Spring,"Vazquez, J"
10029,16,339,3.74,2020,Spring,
64413,16,460,2.86,2020,Spring,"Kennealy - Pierczynski, K"
64415,16,250,3.86,2020,Spring,"Kennealy - Pierczynski, K"
70370,16,361,2.13,2020,Spring,"Perry, M"
68955,16,333,3.45,2020,Spring,"Flores-Freeman, S"
16463,16,417,3.2,2020,Spring,"Bilsbury, T"
33749,16,427,2.04,2020,Spring,"Mann, J"
10587,16,480,3.98,2020,Spring,
67648,16,481,2.68,2020,Spring,"Diaz Gonzalez, D;Favila, I"
70955,16,137,3.62,2020,Spring,"Cervantes, V;Favila, I"
67061,16,234,3.1,2020,Spring,"Blumthal, M;Mamaril, N"
69592,16,373,2.26,2020,Spring,"Davidson, E"
66222,16,47,3.7,2020,Spring,"Favila, I;Tempel, D"
68322,16,123,2.96,2020,Spring,"Tempel, D"
70623,16,385,3.09,2020,Spring,"Moore, C;Niehans, K"
10065,16,339,2.29,2020,Spring,
57256,16,474,3.4,2020,Spring,"Stevens, A"
53975,16,319,2.6,2020,Spring,"Hapke, G"
59907,16,41,2.58,2020,Spring,"Kelly, D"
58392,16,432,3.39,2020,Spring,"Quaney, K"
66761,16,304,2.39,2020,Spring,"Fink, L"
68261,16,480,2.94,2020,Spring,"Swindell, J"
66763,16,324,3.59,2020,Spring,"Anton, P;Sanden, N"
66773,16,67,3.67,2020,Spring,"Huang, N;Sanden, N"
66764,16,383,2.98,2020,Spring,"Burks, E;Sanden, N"
66765,16,485,3.21,2020,Spring,"Huang, N;Sanden, N"
66766,16,254,2.56,2020,Spring,"Gorecki, E;Sanden, N"
66767,16,276,3.79,2020,Spring,"Sanden, N;Willis, L"
66768,16,188,2.94,2020,Spring,"Cunningham, T;Sanden, N"
66770,16,332,2.19,2020,Spring,"Gary, D;Sanden, N"
66771,16,305,3.58,2020,Spring,"Mendez, J;Sanden, N"
66772,16,57,3.66,2020,Spring,"Blanden, K;Sanden, N"
46232,16,157,2.55,2020,Spring,"Napolitano, C"
51051,16,69,3.37,2020,Spring,"Wilson, W"
10109,16,335,2.73,2020,Spring,
10135,16,429,3.83,2020,Spring,
69377,16,425,3.01,2020,Spring,"Burkhalter, T"
18698,16,232,2.11,2020,Spring,"Takhar, P"
65366,16,497,2.69,2020,Spring,"Lee, S"
10231,16,87,2.33,2020,Spring,
10244,16,160,2.75,2020,Spring,
39052,16,215,2.36,2020,Spring,"Johnson, L"
62639,16,120,3.95,2020,Spring,"Chih, D"
10300,16,42,3.58,2020,Spring,
10302,16,131,2.35,2020,Spring,
70734,16,210,2.38,2020,Spring,"Farr, T;Gutwein, C;Kim, J;Turner, D"
70733,16,192,3.04,2020,Spring,"Farr, T;Turner, D;Walk, A"
10354,16,62,2.77,2020,Spring,
10352,16,158,3.5,2020,Spring,"Goldshtein, M"
10358,16,174,2.57,2020,Spring,
10431,16,398,3.63,2020,Spring,
10438,16,345,3.6,2020,Spring,
53622,16,168,2.33,2020,Spring,
10459,16,124,3.93,2020,Spring,
40038,16,424,3.58,2020,Spring,"Wood, A"
65951,16,427,3.21,2020,Spring,"Ng, Y"
64995,16,217,2.81,2020,Spring,"Erdey, K"
42977,16,155,3.94,2020,Spring,"O'Connor, J"
66161,16,92,3.99,2020,Spring,"Rice, I"
10486,16,296,3.21,2020,Spring,
51192,16,354,2.88,2020,Spring,"Krueger, K"
49135,16,343,2.5,2020,Spring,"Neighbors, B"
35362,16,370,2.2,2020,Spring,"Krueger, K"
35363,16,77,3.82,2020,Spring,"Andino Martinez, J;Soranso, M"
41167,16,249,3.09,2020,Spring,"Neighbors, B"
10504,16,253,3.89,2020,Spring,
71039,16,350,3.27,2020,Spring,
71042,16,23,2.63,2020,Spring,
43721,16,345,2.73,2020,Spring,
59906,16,273,2.56,2020,Spring,
57177,16,379,2.77,2020,Spring,"Ciafone, A"
10551,16,410,2.68,2020,Spring,
56376,16,47,3.5,2020,Spring,"Michael, M"
63819,16,127,2.26,2020,Spring,"Knox, T"
46942,16,30,3.08,2020,Spring,"Farley, K;Reedy, M;Stenger, A"
46943,16,238,2.49,2020,Spring,"Farley, K;Reedy, M;Stenger, A"
46946,16,369,2.42,2020,Spring,"Ongpipattanakul, C;Reedy, M;Stenger, A"
36920,16,468,3.71,2020,Spring,"Philpott, M"
55799,16,24,3.84,2020,Spring,"Philpott, M"
10540,16,389,3.32,2020,Spring,
22278,16,398,2,2020,Spring,"Bentsman, J"
55918,16,305,3.18,2020,Spring,"Philpott, M"
10557,16,45,3.67,2020,Spring,
24051,16,172,2.91,2020,Spring,"Guzman Borrero, J;Sanchez Portuguez, G"
23981,16,393,2.96,2020,Spring,"Sanchez Portuguez, G"
23991,16,72,2.15,2020,Spring,"Sanchez Portuguez, G"
23968,16,122,3.13,2020,Spring,"Sanchez Portuguez, G"
24046,16,146,3.98,2020,Spring,"Farrar, A;Sanchez Portuguez, G"
40020,16,334,3.91,2020,Spring,"Yeung, A"
10009,16,157,3.88,2020,Spring,
23974,16,360,3.1,2020,Spring,"Meyers, J"
34684,16,21,3.38,2020,Spring,"Meline, B;Uddin, R"
10122,16,172,3.56,2020,Spring,
10145,16,456,2.17,2020,Spring,
10180,16,386,3.65,2020,Spring,
10205,16,87,2.31,2020,Spring,
43731,16,266,3.54,2020,Spring,"Grossman, N"
46748,16,355,2.34,2020,Spring,"Pahre, R"
67971,16,428,3.57,2020,Spring,"Sin, G"
52385,16,354,2.61,2020,Spring,"Lucas, S"
10281,16,339,2.37,2020,Spring,
66163,16,340,2.38,2020,Spring,"Rice, I"
10332,16,264,2.49,2020,Spring,
69055,16,446,3.09,2020,Spring,"Woolf, J"
69094,16,208,3.26,2020,Spring,"Morris, L"
54591,16,138,3.34,2020,Spring,"Raycraft, M;Sherman, E"
53051,16,315,2.16,2020,Spring,"Russell, B;Santos, C"
10344,16,201,3.74,2020,Spring,
10366,16,105,2.18,2020,Spring,
66911,16,210,2.98,2020,Spring,
10167,16,48,3.53,2020,Spring,
10371,16,333,2.74,2020,Spring,
58275,16,68,2.06,2020,Spring,"McNulty, D"
10059,16,129,2.84,2020,Spring,
59393,16,413,3.71,2020,Spring,"Wade, R"
52689,16,276,2.48,2020,Spring,"Liechty, J"
10099,16,500,3.56,2020,Spring,
10075,16,94,3.11,2020,Spring,
10204,16,239,3.19,2020,Spring,
63137,16,271,2.43,2020,Spring,"Boesche, J"
44010,16,207,2.57,2020,Spring,"Murray, B;Perry, R"
63670,16,103,3.93,2020,Spring,"Griggs, J"
36668,16,137,3.21,2020,Spring,"Stewart, A"
52960,16,253,2.69,2020,Spring,"Mitchell, T"
36671,16,145,3.03,2020,Spring,"LaBau, A"
10225,16,463,3.01,2020,Spring,
28178,16,422,3.48,2020,Spring,"Kaczmarowski, R"
63976,16,237,3.6,2020,Spring,"Johnston, P"
10243,16,21,3.16,2020,Spring,
70802,16,369,2.43,2020,Spring,"Kuhns, B"
52383,16,115,2.44,2020,Spring,
10282,16,64,2.6,2020,Spring,
60222,16,81,2.23,2020,Spring,"Fang, F"
45648,16,298,2.01,2020,Spring,"Braun, L;Krishnashankar, A"
57089,17,54,3.09,2020,Spring,"Zhang, Y"
57090,17,288,3.84,2020,Spring,"Zhang, Y"
57091,17,465,2.42,2020,Spring,"Zhang, Y"
57086,18,37,3.33,2020,Spring,"Kurambhatti, C;Singh, V"
57087,18,321,2.89,2020,Spring,"Singh, V"
57088,18,29,3.38,2020,Spring,"Singh, V"
39997,19,254,3.75,2020,Spring,"Barber, B;Grift, T"
39995,19,149,3.53,2020,Spring,"Grift, T"
56252,19,486,2.51,2020,Spring,"Grift, T"
31585,20,481,3.95,2020,Spring,"Lipka, A"
31587,20,191,2.43,2020,Spring,"Lipka, A"
60974,20,394,3.78,2020,Spring,"Lipka, A"
31591,20,331,2.17,2020,Spring,"Lipka, A"
31595,20,84,3.83,2020,Spring,"Lipka, A"
31597,20,259,3.68,2020,Spring,"Lipka, A"
60973,20,142,3.77,2020,Spring,"Lipka, A"
31603,20,168,2.64,2020,Spring,"Lipka, A"
31578,20,160,3.59,2020,Spring,"Lipka, A"
31567,20,257,3.48,2020,Spring,"Lipka, A"
31570,20,499,3.32,2020,Spring,"Lipka, A"
60971,20,431,3.66,2020,Spring,"Lipka, A"
31608,20,328,3.7,2020,Spring,"Lipka, A"
31612,20,439,2.57,2020,Spring,"Lipka, A"
60975,20,370,2.49,2020,Spring,"Lipka, A"
31616,20,338,2.55,2020,Spring,"Lipka, A"
31621,20,42,3.54,2020,Spring,"Lipka, A"
31624,20,279,3.27,2020,Spring,"Lipka, A"
60976,20,78,3.56,2020,Spring,"Lipka, A"
31629,20,326,3,2020,Spring,"Lipka, A"
51916,21,167,3.6,2020,Spring,"Bhalerao, K"
51917,21,46,3.49,2020,Spring,"Bhalerao, K"
67702,22,47,2.8,2020,Spring,"Chu, M"
29875,23,350,2.29,2020,Spring,"Bhattarai, R"
40185,23,26,3.96,2020,Spring,"Bhattarai, R"
71279,24,298,3.32,2020,Spring,"Bhattarai, R;Cooke, R"
70549,25,110,3.66,2020,Spring,"Davidson, C;Witmer, A"
10177,26,277,2.91,2020,Spring,
30464,26,21,2.45,2020,Spring,"Chen, X"
10089,26,311,3.14,2020,Spring,
10120,26,472,2.71,2020,Spring,
10024,26,492,3.6,2020,Spring,
10137,26,297,2.83,2020,Spring,
71063,26,131,3.85,2020,Spring,
10264,26,200,2.78,2020,Spring,
10331,26,60,3.84,2020,Spring,
10349,26,494,3.03,2020,Spring,
10372,26,275,2.39,2020,Spring,
10385,26,110,2.8,2020,Spring,
10387,26,332,2.64,2020,Spring,
10394,26,444,2.22,2020,Spring,
10411,26,104,2.46,2020,Spring,
40854,26,369,2.59,2020,Spring,
10414,26,151,3.66,2020,Spring,
10418,26,247,2.76,2020,Spring,
55186,26,289,3,2020,Spring,
44922,26,486,2.54,2020,Spring,
10478,26,186,2.65,2020,Spring,
10503,26,229,2.49,2020,Spring,
10514,26,471,2.01,2020,Spring,
10525,26,384,2.62,2020,Spring,
10452,26,443,2.09,2020,Spring,
51640,26,411,3.56,2020,Spring,
10569,26,497,3.84,2020,Spring,
10469,26,125,3.6,2020,Spring,"Amato, N"
10462,26,218,2.27,2020,Spring,
10007,26,186,2.74,2020,Spring,
10025,26,51,2.41,2020,Spring,
10039,26,491,3.74,2020,Spring,
10589,26,104,2.47,2020,Spring,
10079,26,428,2.81,2020,Spring,
10083,26,21,3.39,2020,Spring,
67970,26,278,3.15,2020,Spring,
70997,26,443,3.41,2020,Spring,"Pak, Y"
71044,26,334,2.68,2020,Spring,"Hood, D"
70998,26,332,3.01,2020,Spring,"Pak, Y"
71054,26,431,3.8,2020,Spring,"Hood, D"
71278,26,113,3.25,2020,Spring,"Hood, D"
70996,26,328,2.58,2020,Spring,"McCarthy, C"
71144,26,439,2.44,2020,Spring,"Witt, M"
70995,26,319,3.27,2020,Spring,"McCarthy, C"
70968,26,20,3.46,2020,Spring,"Scagnoli, N"
10058,26,449,2.1,2020,Spring,
57855,26,26,2.48,2020,Spring,
10129,26,298,2.83,2020,Spring,
10149,26,114,2.01,2020,Spring,
10193,26,93,2.73,2020,Spring,
33056,26,364,3.09,2020,Spring,"Hart, J"
10240,26,101,3.17,2020,Spring,
10271,26,493,3.48,2020,Spring,
10297,26,432,3.84,2020,Spring,
10316,26,207,2.19,2020,Spring,
69887,26,161,3.98,2020,Spring,"Tzanetou, A"
65152,26,233,2.09,2020,Spring,
10424,26,183,2.72,2020,Spring,
10447,26,459,3.81,2020,Spring,
51392,26,62,2.92,2020,Spring,
66864,26,469,2.67,2020,Spring,
10466,26,358,3.16,2020,Spring,
10485,26,288,2.88,2020,Spring,
10491,26,320,2.8,2020,Spring,
10502,26,454,3.48,2020,Spring,
10510,26,177,2.78,2020,Spring,
47751,26,85,3.77,2020,Spring,"Davey, W"
56383,26,322,2.98,2020,Spring,"Aviram, A"
62971,26,143,3.82,2020,Spring,"Johnson, E"
53854,26,382,2.14,2020,Spring,"Ross, J"
63050,26,124,2.17,2020,Spring,"Heald, P"
56086,26,43,2.07,2020,Spring,"Lawless, R"
56091,26,289,3.03,2020,Spring,"Davey, W"
10529,26,467,2.66,2020,Spring,
10600,26,135,3.12,2020,Spring,
51950,26,192,2.86,2020,Spring,
10549,26,212,3.03,2020,Spring,
10005,26,393,2.49,2020,Spring,
10168,26,437,2.96,2020,Spring,
10570,26,310,3.92,2020,Spring,
10030,26,483,3.15,2020,Spring,
10055,26,440,3.9,2020,Spring,
10080,26,253,2.26,2020,Spring,
10114,26,404,2.84,2020,Spring,
58073,26,491,3.98,2020,Spring,"Matthews, J"
10119,26,407,3.59,2020,Spring,
47617,26,444,3.11,2020,Spring,
10178,26,150,2.8,2020,Spring,
10133,26,367,2.49,2020,Spring,
10154,26,233,2.77,2020,Spring,
10175,26,24,3.4,2020,Spring,
10210,26,149,3.82,2020,Spring,
10199,26,107,2.27,2020,Spring,
10266,26,326,2.54,2020,Spring,
10277,26,202,2.48,2020,Spring,
10299,26,305,3.01,2020,Spring,
45061,26,115,3.71,2020,Spring,
66990,26,112,3.63,2020,Spring,
10185,26,295,2.59,2020,Spring,
10034,26,418,3.75,2020,Spring,
10056,26,104,2.32,2020,Spring,
10118,26,120,2.64,2020,Spring,
10427,26,110,2.85,2020,Spring,
10203,26,241,2.03,2020,Spring,
10220,26,213,2.98,2020,Spring,
62793,26,327,3.6,2020,Spring,"Stevens, A"
10241,26,334,3.55,2020,Spring,
58364,26,180,3.81,2020,Spring,
10278,26,295,2.38,2020,Spring,
10328,26,428,2.87,2020,Spring,
45418,27,273,3.11,2020,Spring,"Silhan, P"
30111,27,55,2.12,2020,Spring,"Zhang, L"
30118,28,390,2.66,2020,Spring,"Fisher, M"
68539,28,341,2.64,2020,Spring,"Fisher, M"
51202,28,109,2.93,2020,Spring,"Fisher, M"
30119,29,341,3.82,2020,Spring,"Shapland, J"
30120,29,41,2.11,2020,Spring,"Shapland, J"
69229,29,183,2.66,2020,Spring,"Shapland, J"
47685,30,80,3.97,2020,Spring,"Shapland, J"
30195,31,229,3.23,2020,Spring,"Davis, G"
30197,31,43,3.32,2020,Spring,"Mendoza, S"
30203,31,469,3.33,2020,Spring,"Anderson, S"
30192,31,146,3.38,2020,Spring,"Davis, G"
30200,31,465,3.38,2020,Spring,"Anderson, S"
30201,31,408,3.38,2020,Spring,"Anderson, S"
30228,32,41,3.47,2020,Spring,"Curtis, S"
30211,32,241,3.52,2020,Spring,"Herbold, T"
60043,32,478,3.53,2020,Spring,"Herbold, T"
30232,32,496,3.54,2020,Spring,"Herbold, T"
30255,32,33,3.56,2020,Spring,"Zhang, Z"
30212,32,402,3.6,2020,Spring,"Curtis, S"
30260,32,476,2.68,2020,Spring,"Curtis, S;Herbold, T"
30274,33,471,2.91,2020,Spring,"Hamm, B"
46358,33,232,3.26,2020,Spring,"Schwartz, R"
30276,33,180,3.3,2020,Spring,"Hamm, B"
30271,33,92,3.35,2020,Spring,"Schwartz, R"
30278,33,181,3.36,2020,Spring,"Schwartz, R"
30267,33,480,3.51,2020,Spring,"Hamm, B"
30294,34,95,3.11,2020,Spring,"Wang, W"
30299,34,61,3.21,2020,Spring,"Wang, W"
30291,34,418,3.46,2020,Spring,"Wu, M"
30286,34,296,3.47,2020,Spring,"Wu, M"
30296,34,172,3.48,2020,Spring,"Wang, W"
30288,34,20,3.52,2020,Spring,"Kink, D"
30334,35,493,3.21,2020,Spring,"Hutchens, M"
30336,35,290,3.24,2020,Spring,"Holder, D"
48959,35,154,3.38,2020,Spring,"Holder, C"
56978,35,83,3.38,2020,Spring,"Holder, D"
30335,35,273,3.39,2020,Spring,"Hutchens, M"
39460,35,477,3.46,2020,Spring,"Hutchens, M"
63525,35,181,2.92,2020,Spring,"Holder, D"
30412,36,43,3.91,2020,Spring,"Nekrasz, F"
63823,36,293,3.97,2020,Spring,"Nekrasz, F"
63824,36,308,2.15,2020,Spring,"Nekrasz, F"
63825,36,494,3.39,2020,Spring,"Nekrasz, F"
30415,36,371,2.9,2020,Spring,"Nekrasz, F"
30311,37,38,3.2,2020,Spring,"Lullo, M"
30328,37,446,2.32,2020,Spring,"Elliott, W"
30315,37,229,3.92,2020,Spring,"Lullo, M"
30324,37,107,3.25,2020,Spring,"Lullo, M"
60045,38,190,3.16,2020,Spring,"Kustanovich, M"
61733,38,122,3.22,2020,Spring,"Chen, C"
60044,38,23,3.36,2020,Spring,"Chen, C"
61759,38,106,3.38,2020,Spring,"Steward, C"
61734,38,174,3.41,2020,Spring,"Chen, C"
61758,38,440,3.42,2020,Spring,"Steward, C"
65522,38,181,2.92,2020,Spring,"Chen, C"
66490,38,240,2.93,2020,Spring,"Kustanovich, M"
65523,38,361,2.33,2020,Spring,"Chen, C"
65524,38,467,2.57,2020,Spring,"Chen, C"
61745,38,86,3.55,2020,Spring,"Steward, C"
65525,38,88,3.65,2020,Spring,"Steward, C"
65526,38,374,3.37,2020,Spring,"Steward, C"
65527,38,151,2.02,2020,Spring,"Steward, C"
68836,38,96,2.82,2020,Spring,"Kustanovich, M"
68837,38,391,2.57,2020,Spring,"Kustanovich, M"
65157,39,247,2.91,2020,Spring,"Ciconte, W"
65159,39,215,3.59,2020,Spring,"Kink, D"
65158,39,451,3.61,2020,Spring,"Ciconte, W"
63503,39,29,3.67,2020,Spring,"Ciconte, W"
64092,39,110,2.22,2020,Spring,"Elliott, W"
61739,40,340,3.43,2020,Spring,"Holder, C"
68843,40,231,3.52,2020,Spring,"Hutchens, M"
61743,40,107,3.55,2020,Spring,"Alt, A"
61737,40,314,3.59,2020,Spring,"Donohoe, M"
65160,40,446,3.59,2020,Spring,"Holder, C"
61738,40,277,3.66,2020,Spring,"Donohoe, M"
61740,40,176,3.66,2020,Spring,"Holder, C"
61741,40,61,3.97,2020,Spring,"Alt, A"
61742,40,144,2.27,2020,Spring,"Alt, A"
61744,40,369,2.09,2020,Spring,"Alt, A"
65161,40,318,2.15,2020,Spring,"Holder, C"
68844,40,49,3.67,2020,Spring,"Hutchens, M"
67786,41,101,3.67,2020,Spring,"Urcan, O"
67787,41,25,2.86,2020,Spring,"Urcan, O"
68874,42,395,3.2,2020,Spring,"Augusto Sampaio Franco de Lima, G"
68872,42,382,3.48,2020,Spring,"Augusto Sampaio Franco de Lima, G"
70641,42,86,2.32,2020,Spring,"Augusto Sampaio Franco de Lima, G"
70675,42,292,3.14,2020,Spring,"Augusto Sampaio Franco de Lima, G"
67590,43,186,3.33,2020,Spring,"Ibrahim, A"
70676,43,233,3.31,2020,Spring,"Ibrahim, A"
70677,43,328,2.56,2020,Spring,"Ibrahim, A"
67594,43,63,2.75,2020,Spring,"Ibrahim, A"
69063,44,179,3.51,2020,Spring,"Hecht, G"
44637,44,300,3.62,2020,Spring,"Curtis, S"
67610,44,447,3.67,2020,Spring,"Hecht, G"
70678,44,390,2.69,2020,Spring,"Hecht, G"
70679,44,309,2.12,2020,Spring,"Hecht, G"
67612,44,88,2.23,2020,Spring,"Hecht, G"
69208,44,211,2.87,2020,Spring,"Hecht, G"
30419,45,390,3.9,2020,Spring,"Chatterton, A"
58670,45,473,3.96,2020,Spring,"Chatterton, A"
30426,45,89,3.98,2020,Spring,"Chatterton, A"
66494,46,72,3.57,2020,Spring,"Urcan, O"
66496,46,162,3.6,2020,Spring,"Urcan, O"
66495,46,193,3.78,2020,Spring,"Urcan, O"
67722,47,211,3.82,2020,Spring,"Donohoe, M"
70681,47,477,3.13,2020,Spring,"Donohoe, M"
70682,47,245,2.15,2020,Spring,"Donohoe, M"
67723,47,274,3.97,2020,Spring,"Donohoe, M"
44865,48,339,2.1,2020,Spring,"Hepp, J"
46889,48,334,2.09,2020,Spring,"Brown, N"
46890,48,199,3.59,2020,Spring,"Brown, N"
30434,49,384,3.39,2020,Spring,"Koo, S"
30436,49,105,3.63,2020,Spring,"Koo, S"
30437,49,239,3.59,2020,Spring,"Koo, S"
44467,50,22,3.32,2020,Spring,"Williams, D"
46360,50,94,3.99,2020,Spring,"Williams, D"
48423,50,81,3.82,2020,Spring,"Williams, D"
58688,51,206,3.7,2020,Spring,"Fanning, K"
63200,51,26,3.8,2020,Spring,"Fanning, K"
63201,51,485,3.91,2020,Spring,"Li, Y"
30428,51,98,2.21,2020,Spring,"Li, Y"
30431,51,94,2.58,2020,Spring,"Fanning, K"
61747,51,398,3.7,2020,Spring,"Li, Y"
64809,52,490,3.95,2020,Spring,"Nekrasz, F"
64808,52,34,3.97,2020,Spring,"Nekrasz, F"
64807,52,184,3.49,2020,Spring,"Nekrasz, F"
70066,53,78,3.75,2020,Spring,"Hutchens, M"
30438,54,165,3.37,2020,Spring,"Sternburg, T"
30440,54,409,3.52,2020,Spring,"Sternburg, T"
65171,55,247,3.84,2020,Spring,"Hutchens, M"
68538,56,432,3.87,2020,Spring,"Brunner, R"
70515,57,176,2.25,2020,Spring,"Leiby, J"
70516,57,461,3.35,2020,Spring,"Leiby, J"
70106,58,74,3.66,2020,Spring,"Penn, M"
70206,58,224,3.7,2020,Spring,"Penn, M"
66492,58,301,3.77,2020,Spring,"Hobson, J"
64806,58,294,3.82,2020,Spring,"Brown, T"
67002,58,240,3.85,2020,Spring,"Brown, T"
66491,58,471,3.86,2020,Spring,"Hobson, J"
67001,58,28,3.92,2020,Spring,"Brown, T"
